Source,Title,URL
GitHub,Fix GL08 for pandas.tseries.offsets.*.normalize,https://github.com/pandas-dev/pandas/pull/63585
GitHub,"DOC: Fix SA01,ES01 for pandas.tseries.offsets.Day.freqstr",https://github.com/pandas-dev/pandas/pull/63584
GitHub,"DOC: Fix SA01,EX01 for pandas.Series.from_arrow",https://github.com/pandas-dev/pandas/pull/63583
GitHub,Set up ty in CI,https://github.com/pandas-dev/pandas/pull/63582
GitHub,BUG: iloc[0] raises ValueError with SparseArray column and numpy array column,https://github.com/pandas-dev/pandas/issues/63581
GitHub,DOC: fix offline documentation search behavior,https://github.com/pandas-dev/pandas/pull/63580
GitHub,DOC: Inline docstrings for StringArray methods in string_.py,https://github.com/pandas-dev/pandas/pull/63579
GitHub,CLN: Inline .clang-config in pre-commit-config,https://github.com/pandas-dev/pandas/pull/63578
GitHub,[pre-commit.ci] pre-commit autoupdate,https://github.com/pandas-dev/pandas/pull/63577
GitHub,BUG: setitem with list of NaT,https://github.com/pandas-dev/pandas/pull/63576
GitHub,"Timedelta resolution differs between positional (value, unit) and keyword args",https://github.com/pandas-dev/pandas/pull/63575
GitHub,BUG: pd.read_sql returns fewer rows than manual cursor execution for the same query and connection,https://github.com/pandas-dev/pandas/issues/63574
GitHub,PERF: Use Arrow native cast in as_unit,https://github.com/pandas-dev/pandas/pull/63573
GitHub,"BUG: pd.read_json fails with ""Value is too big!"" on large integers, while json.load + DataFrame works",https://github.com/pandas-dev/pandas/issues/63572
GitHub,DOC: inline docstring in CalamineReader,https://github.com/pandas-dev/pandas/pull/63571
GitHub,CI: Fix docs build env variables,https://github.com/pandas-dev/pandas/pull/63570
GitHub,"Revert ""DOC: allow rebuilding versioned docs through workflow_dispatch""",https://github.com/pandas-dev/pandas/pull/63569
GitHub,Add Decision Tree model for Iris classification,https://github.com/pandas-dev/pandas/pull/63568
GitHub,"BUG: `pd.array([float(""nan"")], str)` does not convert to `pd.NA`",https://github.com/pandas-dev/pandas/issues/63567
GitHub,DOC: Inline docstring in pandas/io/excel/_xlrd.py,https://github.com/pandas-dev/pandas/pull/63566
GitHub,DOC: Inline docstring in pandas/io/sas/sasreader.py,https://github.com/pandas-dev/pandas/pull/63565
GitHub,DOC: Remove @doc decorator from pandas/io/formats/xml.py,https://github.com/pandas-dev/pandas/pull/63564
GitHub,DEPR: Series.round and Series.clip on non-numeric dtypes,https://github.com/pandas-dev/pandas/pull/63563
GitHub,ENH: Add month accessor support for PyArrow-backed DatetimeIndex,https://github.com/pandas-dev/pandas/pull/63562
GitHub,ENH: Add outlier detection and handling methods,https://github.com/pandas-dev/pandas/pull/63561
GitHub,BUG: Arrow-backed duration/timestamp reductions return stdlib types for non-nanosecond units,https://github.com/pandas-dev/pandas/pull/63560
GitHub,DEPR: Series.round and Series.clip on non-numeric and non-object dtypes,https://github.com/pandas-dev/pandas/issues/63559
GitHub,DOC: Fix typing of copy argument in astype,https://github.com/pandas-dev/pandas/pull/63558
GitHub,ENH: Add .center() method to DataFrame/Series for inspecting middle rows.,https://github.com/pandas-dev/pandas/issues/63557
GitHub,DOC: Fix SA01 for pandas.StringDtype.na_value,https://github.com/pandas-dev/pandas/pull/63556
GitHub,DOC: Fix SA01 for pandas.StringDtype.na_value,https://github.com/pandas-dev/pandas/issues/63555
