pattern,description
Draft Q{q} Social Media Calendar,Create content schedule for upcoming quarter
Design assets for {campaign},Visuals for social and email
Analyze {month} Traffic Report,Review Google Analytics and search console
Launch {product} GTM Campaign,Full funnel marketing blast
Optimize {page} Landing Page,A/B test headlines and CTAs
Write Case Study: {client},Interview client and draft success story
Review Competitor Ads: {competitor},Analyze ad spend and creative strategy
Setup Drip Campaign: {segment},Onboarding email sequence for new signups
Coordinate Webinar: {topic},Speaker logistics and promotion
Update SEO Keywords,Review rankings and optimize content
Plan {event} Booth,Design booth layout/swag
Audit Brand Voice,Review website copy for consistency
Weekly Marketing Sync,Update on KPIs and blockers
Review Ad Spend,Optimize CAC and ROAS
