pattern,description
Process Payroll: {month},Finalize hours and bonuses
Onboard New Hire: {role},Setup IT accounts and welcome kit
Update Employee Handbook,Review policies and benefits
Office Move Logistics,Coordinate movers and seating chart
Quarterly Budget Review,Analyze variance vs plan
Vendor Renewal: {vendor},Negotiate contract terms
Organize Company Offsite,Booking venue and travel
IT Security Audit,Review access logs and permissions
Legal Compliance Check,Update privacy policy
Renew Software Licenses,Check seat usage and upgrade
Employee Satisfaction Survey,Send out culture amp survey
Stock Option Grant,Prepare board deck for approval
Files Taxes: {region},Submit quarterly filings
